file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20111209_www.cnstock.com_4d57ba998dd48bc7aadfc3eba1cd5f0527c436e9e20f020d208858cb	26.32	25.00	27.78	57.14	66.67	50.00	5	15	13	2	1	2
20111215_news.ifeng.com_5d3d22d1931a75a38e71fa61a01a484f05d7ff277044135ed275be6f	45.95	38.64	56.67	76.19	80.00	72.73	17	27	13	8	2	3
20120112_life.chinatimes.com_0148a12fbfcffbd8d771db826b6af164de5dc687acd71d624aa4842a	29.79	31.82	28.00	92.31	100.00	85.71	7	15	18	6	0	1
20111215_news.sina.com.cn_bd3178e4a4feb52e7a282159e577f26e60a3a69f15b5b3138666e738	42.55	30.30	71.43	92.86	100.00	86.67	30	69	12	13	0	2
20111215_finance.ifeng.com_96c4a559d7ef5f9357153996249f7626c36c313c032be42415659f9e	40.00	31.82	53.85	73.68	87.50	63.64	21	45	18	7	1	4
20120117_www.rthk.org.hk_33ab20898cb0ae8757794a9daf9b75f0a22e01f72657b03d61593f4e	90.61	96.88	85.10	66.67	100.00	50.00	217	7	38	3	0	3
20120112_big5.xinhuanet.com_db34279c128eb37aa42d87061ac37c707a90c005bad6d4c88ba084ee	32.61	31.25	34.09	90.32	100.00	82.35	15	33	29	14	0	3
20120117_www.ttv.com.tw_6b216dea3dac1ec23f71da42f3c1b1f9c3fa7239dc68bd2661225a8a	2.84	1.83	6.25	22.22	100.00	12.50	2	107	30	1	0	7
20120117_finance.ifeng.com_72a1d43e9fe5bc73075f815184974e258af7222c0069bbf6f1d2e018	65.15	57.14	75.76	95.77	97.14	94.44	100	75	32	34	1	2
20120112_iservice.libertytimes.com.tw_1d19345493551784a2a545a98143ad993978b561330caeb20f0a6c65	12.00	10.71	13.64	0.00	0.00	0.00	3	25	19	0	0	6
20120117_big5.xinhuanet.com_2c2fb8d2e9a862f7dceccbfec8c756c8e53058e5557107298ec1d4d1	11.54	19.35	8.22	27.03	100.00	15.62	6	25	67	5	0	27
20111209_china.newssc.org_bb91803c879e0a146538fb1b6b079f8fdca25df183232451a9bd80dc	33.55	30.95	36.62	96.15	100.00	92.59	26	58	45	25	0	2
20120112_news.cnyes.com_5ff56ea0081038337137ea72becd107f698876575c825d86de9ed65c	19.51	17.39	22.22	40.00	40.00	40.00	4	19	14	2	3	3
20120112_www.chinanews.com_9a5f53492be2b3103f3c8bc570ebf714d8c94acb2965d5fa75666f77	20.83	16.30	28.85	80.00	100.00	66.67	15	77	37	14	0	7
20120112_taiwan.huanqiu.com_ced409ff55b7c2a6cbecf1bba333bcc06214c90e2555d26cac4d3d8a	29.63	27.59	32.00	80.00	100.00	66.67	8	21	17	4	0	2
20120117_ent.sina.com.cn_70b17ec98774a59e77dee47dd75998a9c77ff92485088cd466bc6ef6	30.51	24.32	40.91	71.43	71.43	71.43	9	28	13	5	2	2
20120117_n.yam.com_628e192ea8224722b0282d8e47fa0f8c0e1bfc807a299633710850fd	40.68	34.29	50.00	66.67	54.55	85.71	12	23	12	6	5	1
20111215_finance.ifeng.com_10ac0c855e0f68a99362430f6d018d74220af2e3b4aa78861d946f5c	5.30	2.84	40.00	76.92	62.50	100.00	8	274	12	5	3	0
20120117_www.uho.com.tw_193667c6b6dad84cf5715ae7c05f66934fce45abc074b83b72abd4fd	28.57	27.78	29.41	75.00	100.00	60.00	5	13	12	3	0	2
20120112_news.hexun.com_fa183956e8d619ed3a371634cc06e0609927cc3456a272a071f45ac4	17.24	11.76	32.26	94.74	100.00	90.00	10	75	21	9	0	1
20120112_sports.163.com_f5f6edfa4f16d8e7a88c191c86ec99f253eb43d169d3633ebb4e71c2	34.69	33.33	36.17	86.67	92.86	81.25	17	34	30	13	1	3
20120117_member.nownews.com_b84c2ed3df1d06646107d38bc32fb999e4ed93a2456070b53c3d7eae	10.17	6.32	26.09	44.44	100.00	28.57	6	89	17	2	0	5
20111215_www.legaldaily.com.cn_69bd3a917f9bdd84ae8ec85a2ed8c7cf5fffcad2b76e59423922d6f5	80.00	87.50	73.68	95.45	100.00	91.30	42	6	15	21	0	2
20111215_www.voanews.com_fc0ebc63d318b8f334a6714e41438b84cda4caa8791b608a6f2b26d3	12.50	18.18	9.52	25.00	100.00	14.29	2	9	19	1	0	6
20120117_news.sina.com.tw_b08eb50adfa2a38385c59530a682e8240f9cc41d6abe821bb4cc0d55	9.17	6.25	17.24	20.00	100.00	11.11	5	75	24	1	0	8
20120117_ent.ifeng.com_e791c1ba0648c993c02531c486dabccf6e263924d8370834f3728432	17.81	18.84	16.88	52.17	100.00	35.29	13	56	64	12	0	22
20120117_n.yam.com_153aa61a85bc1593276f261c3704979326153808634829de701afc4b	33.90	28.57	41.67	55.56	45.45	71.43	10	25	14	5	6	2
20120117_tech.southcn.com_d7a2be41a68936577adac81d23f51dfa0c7de5cc8c5a4b6b793638b9	50.00	55.56	45.45	72.73	80.00	66.67	10	8	12	4	1	2
20120117_web.pts.org.tw_2f8947293f33ea7d57721cc2a765e78fbeda048197cea8aa753b5262	3.08	2.44	4.17	0.00	0.00	0.00	1	40	23	0	0	7
20120117_www.worldjournal.com_ec606962b3e49717db72a7e6b56cd1fc02c39207c7a69abebea3178b	22.09	13.53	60.00	90.00	81.82	100.00	18	115	12	9	2	0
20120117_n.yam.com_537b19fc060daa878b99e7e69b8cf5c517bb73261ec8f431b514f0d2	39.34	30.77	54.55	60.00	46.15	85.71	12	27	10	6	7	1
20120117_news.163.com_d3112a324723bcc03f7bec52d5e53c3dab4dadb8f36aad32b1612fbd	20.56	34.38	14.67	29.41	100.00	17.24	11	21	64	5	0	24
20120117_news.sina.com.tw_d829eed38bcf5880d349f8c9daa43d5c58a8c69f0aec02e5ecb9ee75	21.54	14.89	38.89	57.14	66.67	50.00	7	40	11	2	1	2
20120117_iservice.libertytimes.com.tw_53c9c02e9aaa773c4f5cbfc36ea0e04b2140bb0be2b375de8a6cd20d	11.11	10.00	12.50	0.00	0.00	0.00	3	27	21	0	0	7
20120117_go.rss.sina.com.cn_9e328a74722880866c153b9b8d0ffb55c54534cb0a55bcaa962756f2	43.84	36.36	55.17	85.71	100.00	75.00	16	28	13	6	0	2
20111209_news.xinhuanet.com_2cde90ef0eb59736062411a8eb78b772a0aa6b60eb06d0cbd6bb0f32	17.86	16.13	20.00	80.00	100.00	66.67	5	26	20	4	0	2
20120112_news.sina.com.tw_47ba97ae364f70cd1f160b3ac3f4e56ce0280891459d93c21f389ecf	40.00	29.82	60.71	82.35	87.50	77.78	17	40	11	7	1	2
20120117_n.yam.com_07c4072b11126ec3051010ae747e938b03f58b06391b6afe9e8a84a2	63.74	61.70	65.91	92.86	92.86	92.86	29	18	15	13	1	1
20111215_finance.ifeng.com_ee2528b86e102e1bb26c614aa3f4864d0839736820165d31c3b9ca62	15.69	11.11	26.67	66.67	66.67	66.67	4	32	11	2	1	1
20111215_www.chinanews.com_4a69b3607283e2eb5cf8abc98563d0266f359540aca03384b7ba03e3	7.14	50.00	3.85	0.00	0.00	0.00	1	1	25	0	0	8
20120117_biz.caixun.com_e46b253d9da640fe10b2f18e29ba668ab7a914d9d5f9e4d093d492f9	8.79	9.88	7.92	13.04	100.00	6.98	8	73	93	3	0	40
20120112_udn.com_292fa15844d51a70a348b7678e2ef3d2141768f4a725972815388cb2	40.00	53.85	31.82	60.00	75.00	50.00	7	6	15	3	1	3
20120117_life.chinatimes.com_8a01bbd5e7d9594f79e16c057d7cbbe09cdcfa8a08cc386949cf88b1	25.81	36.36	20.00	75.00	100.00	60.00	4	7	16	3	0	2
20120117_udn.com_ca400f53ef4129056c8fbdec3ea6ebd3d557a336c25c88ccf7891015	48.65	60.00	40.91	66.67	75.00	60.00	9	6	13	3	1	2
20120112_tech.hexun.com_1e16b8da098834d41def313b729f5d2a66e32b713234b5392434da3b	10.43	6.45	27.27	66.67	100.00	50.00	6	87	16	3	0	3
20120117_finance.qq.com_a445e3a4018f1a4760397b78787d22a99a2515b77871a55532cc2f27	9.30	10.53	8.33	25.00	100.00	14.29	2	17	22	1	0	6
20120112_stocks.caixun.com_17be7dec823cea22fc087950e03b71a2288517df011f26dc1e362510	27.67	26.92	28.46	20.00	100.00	11.11	35	95	88	3	0	24
20120117_news.rednet.cn_2089bd1b0ee41a34164fa81e88f4cf1269cddd03ae5d34bfaad082d4	12.99	10.20	17.86	46.15	42.86	50.00	5	44	23	3	4	3
20120117_life.chinatimes.com_a8681d0dabbdf768413103efe7c911342b7f8fb928cb0839b6affa7c	31.58	31.03	32.14	87.50	77.78	100.00	9	20	19	7	2	0
20120117_life.chinatimes.com_20018caa23570dc26c974e083d189bf664b6ceb36399df5528f9053f	32.73	45.00	25.71	87.50	100.00	77.78	9	11	26	7	0	2
20120112_www.tianjinwe.com_a9207f4334843b9204613520c5799b21be5dd04d6366277440d53c91	57.14	64.29	51.43	86.96	90.91	83.33	18	10	17	10	1	2
20120117_news.sina.com.cn_4d78576145fc3459c5c760665f5413f1ed72a0a537d1ab4308aaef75	48.98	35.29	80.00	80.00	72.73	88.89	36	66	9	8	3	1
20120112_big5.xinhuanet.com_5dbb5d39faa08e4112616e86402fc5447f8d072228bab45dc8e7d005	34.38	33.33	35.48	83.33	100.00	71.43	11	22	20	5	0	2
20120117_tech.sina.com.cn_4b3e1627f928b5f9e1a076dfd6aa6b2fb9ea85bab63eee5ce5220847	8.27	4.60	40.74	33.33	22.22	66.67	11	228	16	4	14	2
20120112_www.iask.ca_6460accad12386398b45755d87f69b0ef2117458dd51b2951bc9d7d9	11.62	6.82	39.34	33.33	21.62	72.73	24	328	37	8	29	3
20120112_go.rss.sina.com.cn_68ce56ded0f11275e7b9282381c1ae730abbb464a33bc1c288d3effa	72.03	68.12	76.42	97.03	96.08	98.00	94	44	29	49	2	1
20120112_t.cntv.cn_6b23666e15d96eef23f0ae8456a7c25e86a1a3f3a9a18d300b73eaa6	13.33	50.00	7.69	0.00	0.00	0.00	1	1	12	0	0	2
20120117_news.xinmin.cn_9ceb3bd584b4ca824a4260fc341981e514ea86b7998a45704fcb7ec1	62.50	66.67	58.82	90.91	100.00	83.33	20	10	14	10	0	2
