file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120106_motor.ru_741ecb27c192865fc4990c8509dd63244c4a5f5dc62e30945922cfba	40.37	25.78	93.10	13.33	7.32	75.00	108	311	8	3	38	1
20120106_www.newsru.com_95fc96ababf91e7cfac75e20e8d3a074f3237ae538209f9d22d99eea	10.49	52.54	5.83	0.00	0.00	0.00	31	28	501	0	2	13
20111128_krasnoturinsk.info_5a3bfe4c4a2968237c0aaee00b904f9d78a311ee826c1913c7b15bc0	36.25	22.38	95.42	22.73	13.51	71.43	354	1228	17	5	32	2
20120106_glavred.info_df52a83b8d33b1793ec8a3f17de4a163c70f16ad52d42bc8d53b9ece	79.35	77.29	81.51	50.00	50.00	50.00	194	57	44	4	4	4
20120106_fedpress.ru_f481b7b1343b76e5ec11312aab609cb5e9a2878435f70f86fe7b7bda	8.37	38.46	4.69	0.00	0.00	0.00	10	16	203	0	1	6
20111128_www.ukrkonditer.kiev.ua_289093b207c36db1b5210506878a1ccf4fca6fbc7c5bd711f0173c1d	8.56	88.89	4.49	0.00	0.00	0.00	8	1	170	0	1	8
20120117_www.belnovosti.ru_d8dccb6a4fd4add76ec4356a85d54cd8edbd802b4fa7b563cd6b200d	81.48	70.82	95.93	44.44	36.36	57.14	165	68	7	4	7	3
20120106_glavred.info_4d4c81eaf0f69f9624666acf9a0fd977b6fdd522dd33c415f89eaf9a	75.82	73.40	78.41	76.92	71.43	83.33	138	50	38	5	2	1
20120106_www.regnum.ru_7b4866bab218668c095f650b361d06e16eab7fe26dfd5b97caa7f17d	62.71	46.83	94.90	26.67	18.18	50.00	391	444	21	2	9	2
20120106_www.interfax.ru_355ba0d6cad5b55f60035c44bba3125d27faabe8e0fc232d024bfb4c	5.43	17.39	3.22	0.00	0.00	0.00	16	76	481	0	4	9
20120106_www.nr2.ru_e8a7ab045ab0d623fb358028b6ffa3f30c521db5617b48fa30a13465	2.12	69.57	1.08	0.00	0.00	0.00	16	7	1472	0	3	29
20120106_www.newsru.com_94162a1c8fb6eca8312611a627f86b252c38fbd7149dd213934036e7	16.06	40.74	10.00	0.00	0.00	0.00	22	32	198	0	2	6
