file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120106_www2.rizospastis.gr_c44d5229886107a964158809a7762986d468cbec420700d03e3fef7f	2.40	22.58	1.27	0.00	0.00	0.00	7	24	545	0	2	7
20120105_health.in.gr_9aff1149c40ef5839c0c58532ceac309a5ea459588a12c3a24408ea2	10.86	33.85	6.47	12.50	20.00	9.09	22	43	318	1	4	10
20120106_www2.rizospastis.gr_b6790588a82e5a49bbeb17c84d2d9955724b60b3149ff61a623706f7	6.84	61.54	3.62	0.00	0.00	0.00	8	5	213	0	2	5
20120106_www.ethnos.gr_1084803ed0be38ec9e1cd259051c6724425a18b4729e37010668f164	5.02	70.00	2.60	0.00	0.00	0.00	7	3	262	0	1	8
20111207_www.express.gr_5a2b984dd7cae62f5e2aa1e96ffeb4a2232535a31b16445374f66c5f	68.61	77.69	61.44	57.14	80.00	44.44	282	81	177	8	2	10
20120106_www.avgi.gr_32758bb0414ec845fa2c99f6114bd72bfe5267d725c46c88b341b882	80.97	70.20	95.64	35.29	27.27	50.00	285	121	13	3	8	3
20120106_www.kathimerini.com.cy_1237811088607f097f4d460a3f33776468f75970e9775b9b4f2a42dd	10.33	14.47	8.03	0.00	0.00	0.00	11	65	126	0	20	5
20120105_health.in.gr_ce02e86026b514251d6e6f8541c9650917fc21da910b24778e3c6c83	8.68	29.85	5.08	0.00	0.00	0.00	20	47	374	0	5	10
20120106_www2.rizospastis.gr_38caad2915651ddcf48231eb5f4ab64cd6a7b92c8c02b513f402d29e	2.84	25.81	1.50	25.00	50.00	16.67	8	23	525	1	1	5
20120106_www2.rizospastis.gr_4c627406ff6c4cfec9c51f5085dd6caa44978ae56797a0fb64af7695	3.33	22.58	1.80	0.00	0.00	0.00	7	24	382	0	2	6
20120106_www.tovima.gr_7abd8f795d5f410943446e48770f6a123cfddb0f827dd8ca705708d2	5.38	7.53	4.18	0.00	0.00	0.00	11	135	252	0	4	12
20120105_www.iatronet.gr_592fa311de7833d5d1ece2963aa544e055bf7a765e7d0414c7c2bc5e	90.53	86.27	95.24	58.82	50.00	71.43	220	35	11	5	5	2
20120105_www.tovima.gr_07b79daa65528f984e29ec38a6e8e0118143b4371a485c802d651f7e	3.89	24.19	2.12	0.00	0.00	0.00	15	47	694	0	2	16
20120106_www.tovima.gr_526e56bd7f9e2305519228aca4dc084ed33a3ee06a1192f3a43644f6	4.24	10.96	2.63	0.00	0.00	0.00	16	130	592	0	4	16
20111222_www.express.gr_95ab89f215d2fbfc626d18e0207d95c6ae39e790098120fc76942422	4.51	10.59	2.87	0.00	0.00	0.00	9	76	305	0	1	6
20111216_www.express.gr_b3e6051f0dd31380ead5dabc3379f11543208e81c92d880417870d5b	1.28	9.41	0.69	0.00	0.00	0.00	8	77	1158	0	1	19
20120106_www1.rizospastis.gr_a0c46c9e11a7fe0ec70aca89596807dddb688b5ee5f21075f8563f54	3.32	22.58	1.79	0.00	0.00	0.00	7	24	384	0	2	5
20120106_www2.rizospastis.gr_06396d8fa53c5b4e72a96d668b31aa1ecf07ab9d94f8eb442ca04b5c	22.22	25.81	19.51	50.00	50.00	50.00	8	23	33	1	1	1
20111118_www.express.gr_f226bbc41a07c1a1f6e320e7fe083986f5535a367c8d18b006d92de8	2.07	8.24	1.18	0.00	0.00	0.00	7	78	585	0	1	17
20111220_www.express.gr_07fae9dc16db9e3fa4b72504291c46a4ab71234ff69751ad7f34badb	6.04	9.41	4.44	0.00	0.00	0.00	8	77	172	0	1	6
20111124_www.express.gr_41edb297aa4c3872c400d4cafdd44d524fc56f1c7c28eaf2c3ae6256	4.34	9.41	2.82	0.00	0.00	0.00	8	77	276	0	1	8
20120106_www2.rizospastis.gr_b2138c0b117a24a9b0c5c862bd74433afa9e267d5007d241ea613877	3.47	22.58	1.88	0.00	0.00	0.00	7	24	365	0	2	5
20111109_www.express.gr_6066839f4292469965d02e2879526a4fed12f6a8c4e1ba5ecc111893	2.30	7.06	1.38	0.00	0.00	0.00	6	79	430	0	1	9
20111116_www.express.gr_1db2023edf82f75860f86aaae5f4f7cd09cda3ce998e53aab61cef0b	1.87	8.24	1.05	0.00	0.00	0.00	7	78	658	0	1	12
20111208_www.express.gr_da882fcb03388a9eb9b305a1b9fe9172e88e3dd13a766f46dd793e21	2.45	9.41	1.41	0.00	0.00	0.00	8	77	560	0	1	12
20120106_www1.rizospastis.gr_3bceecc05f9f8ed4e10be7860293dab4aa6615fc4245f6889c0f75c8	6.08	25.81	3.45	50.00	50.00	50.00	8	23	224	1	1	1
20120106_www2.rizospastis.gr_65f79f0c8c9c7b88c9798ff946fe94a0aeb143d875f44cbc190102a2	3.35	22.58	1.81	0.00	0.00	0.00	7	24	380	0	2	9
20120106_www2.rizospastis.gr_59047665d06bfe2a79a6cb23a841225acd543f670882bf5c5b8b9d61	4.96	22.58	2.79	0.00	0.00	0.00	7	24	244	0	2	5
20120106_www2.rizospastis.gr_47c20c12563f82cfff24713ca108825f2bf598af601a270e78a7f104	2.83	22.58	1.51	0.00	0.00	0.00	7	24	457	0	2	7
20111209_www.express.gr_46ec12e526b67d96ff38821c694d5361d8be99ade2067b8430e7b960	7.44	9.41	6.15	0.00	0.00	0.00	8	77	122	0	1	6
20111108_www.express.gr_95662e961b75586f8d3cbf40783417e579e5f8568ff39355feb442a0	2.70	8.24	1.61	0.00	0.00	0.00	7	78	427	0	1	8
20120104_www.ethnos.gr_e448555d474b216bc3089149adc72d7919a6b993918f342124259b5a	3.06	44.44	1.58	0.00	0.00	0.00	8	10	497	0	3	12
20120105_www.iatronet.gr_98e29d2767115b1eec228b6b1d5324684f1e377a61ff2992511a092c	81.48	74.44	90.00	46.15	33.33	75.00	99	34	11	3	6	1
20120106_www.ethnos.gr_3b5f67cacc3ead1a2b0f7ea99e704b65e0b723d7cb2e54b567099190	6.40	42.11	3.46	0.00	0.00	0.00	8	11	223	0	3	7
20120106_www.madata.gr_7fe67e5cad2bb97f9591b75debb7ab74fb06fff553080d7225b5b28b	82.06	71.04	97.14	70.00	57.14	90.32	883	360	26	28	21	3
20120106_news247.gr_9642177fd2e47bb2f105ff5d29a24bed2818abacac9ae5a27f744f07	94.13	95.79	92.52	84.62	91.67	78.57	705	31	57	22	2	6
20120106_www.ethnos.gr_4acbe762fc9067b1ac711dc400e09f5624e11cb5cecba6dd3f11863e	2.92	80.00	1.49	0.00	0.00	0.00	8	2	530	0	1	11
20120105_health.in.gr_4a7cc31923297628d65e4bb867cc70cd36d4943d943638e7c5c67110	5.33	29.51	2.93	0.00	0.00	0.00	18	43	597	0	5	17
20111107_www.express.gr_a22334a5897264c602d403563a377b23fe209d1eaa1e49c06510ca16	3.95	8.24	2.60	0.00	0.00	0.00	7	78	262	0	1	8
20120106_www1.rizospastis.gr_082fa9016c2096df4877f57acc73575eeb7f61307349a2e66adb623b	3.43	22.58	1.86	0.00	0.00	0.00	7	24	370	0	2	6
20111117_www.express.gr_d2562f3c6adb36b590741e0ab5f74e301958cba3810017779b579008	3.91	9.41	2.47	0.00	0.00	0.00	8	77	316	0	1	7
20120106_www.tanea.gr_2743af7d3edc812bc1f95226dd820db129f103e1fdcbab4747d48ca2	83.41	92.08	76.23	62.50	55.56	71.43	186	16	58	5	4	2
20120106_www2.rizospastis.gr_1393daa49ac0bd1888f5ad8b1f4b0026ba2088affae82ba7ba875d33	2.81	25.81	1.48	28.57	50.00	20.00	8	23	531	1	1	4
20120106_www.ekathimerini.gr_66c892f03f51842a17d8f50b3b8d78773079414488f4cc26419290d5	95.18	94.77	95.60	66.67	62.50	71.43	326	18	15	5	3	2
20120106_www1.rizospastis.gr_6324ccce3bf2584356381cf2d0a9f6b1ec45b8e85264a46283e22608	3.54	22.58	1.92	0.00	0.00	0.00	7	24	358	0	2	5
20120106_www.rizospastis.gr_b3a2647643910af92a4e94aa6af092dd222b919c18104ca46e5148fd	6.18	25.81	3.51	40.00	50.00	33.33	8	23	220	1	1	2
20120106_www2.rizospastis.gr_153049d6282cedbdce143ef6cc1ab7ec8e554ca00af0955afcfd58a3	1.18	61.54	0.60	0.00	0.00	0.00	8	5	1334	0	2	19
20120105_health.in.gr_95529ecbcd447882db17066571410eaa5abb659669410269e309d7ff	6.79	33.85	3.77	10.00	20.00	6.67	22	43	561	1	4	14
20120106_www.kavalanet.gr_439c1c31f81f17eb2bdb5534dcc59a6da4532b05c6c6583b269e2c0d	53.67	73.36	42.32	0.00	0.00	0.00	168	61	229	0	3	11
20120106_www2.rizospastis.gr_6877174498b98fffd102234307b963b4319128796e784e3eb00bfdc8	4.07	22.58	2.24	0.00	0.00	0.00	7	24	306	0	2	6
20111129_www.express.gr_43bbae2ad58c174e903cf0f7a4aa96207a86cf2a5d488ae808d0f663	4.11	9.41	2.63	0.00	0.00	0.00	8	77	296	0	1	7
20120106_www.imerisia.gr_a2be2693cc9f782331507fb88a7ca0d4e2dab3c9785a50d64606b5e8	4.59	17.81	2.63	0.00	0.00	0.00	13	60	481	0	1	10
20120106_www1.rizospastis.gr_ceb3b16b1edb4e9c17c96cecb18c8b7485a80f353fa986a9dddd2259	3.57	22.58	1.94	0.00	0.00	0.00	7	24	354	0	2	7
20120106_www1.rizospastis.gr_e53ffb7a7f150345dfe882e7ef338f8e1063da6319be5301ce2eb2f9	2.61	22.58	1.38	0.00	0.00	0.00	7	24	499	0	2	9
20120105_www.tovima.gr_281d8eb32b804880b2e3872d312977d42de48ad934565abff355c4a5	4.60	17.74	2.64	0.00	0.00	0.00	11	51	405	0	2	19
