file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120112_yourlife.usatoday.com_55c1f30efcbbf616dd0d6952c512f8c5e67d1720e6e47bea6489f71d	36.33	22.64	91.93	8.00	20.00	5.00	740	2529	65	1	4	19
20120112_www.washingtontimes.com_92d81e4d373524316f170850ce146c98a5ef60b1ee2d323de4eb5f05	14.42	7.87	86.71	74.07	83.33	66.67	437	5119	67	10	2	5
20120112_www.walesonline.co.uk_c74de3f2c3597ac5a357a970261183f1c40796d56c78aab8804648cf	17.08	9.38	95.40	75.47	64.52	90.91	643	6212	31	20	11	2
20111215_www.hi-mag.com_6ea8940a980c5a88125994f6499541148791f863a94d469ba4a0cf9a	27.53	16.07	95.84	66.67	61.54	72.73	346	1807	15	8	5	3
20120112_www.latimes.com_86590de2901a8e344e80e97320b29447c9e32973abca5f94e937e36d	6.55	3.44	67.57	0.00	0.00	0.00	225	6316	108	0	4	11
20120117_www.stuff.co.nz_cc415cc1a7f98456f362ad5d9d0f5768c4bfece11189bd576907fbb9	32.39	19.43	97.20	62.86	48.89	88.00	797	3305	23	22	23	3
20120112_www.metro.co.uk_63ca8cbe651c3917efb0977f6ea7a4b5fe936b9bd5367591a2f6570c	14.15	7.68	89.80	80.00	100.00	66.67	176	2116	20	6	0	3
20111215_www.dailymail.co.uk_d0ea63908ff796a09c45b95e841dfac33563e802387991bcc135fa4a	9.34	4.94	86.10	0.00	0.00	0.00	508	9780	82	0	27	24
20120112_www.reuters.com_7a3ed76095e0102a7e0d096cf11f2a1e75c1376bc923de2879fa8700	16.27	8.92	92.67	73.68	66.67	82.35	556	5677	44	14	7	3
20111215_www.bbc.co.uk_cef0d1619babf56ae2533742ef19512e3ecf3e818a4bcc3036bcf0c7	18.93	10.51	95.64	56.60	44.12	78.95	636	5418	29	15	19	4
20120112_www.dailymail.co.uk_312178333630c1aae812202f6affe4de2fd6cd800ceabe34cad6cc90	3.46	1.77	83.25	0.00	0.00	0.00	169	9397	34	0	16	9
20120112_www.businessweek.com_a3c2447b038ee157ff05a6e38a9f1923422b8f38d0eb556eee61c7e8	20.27	11.33	95.93	80.00	80.00	80.00	330	2582	14	8	2	2
20120117_www2.canada.com_768405a9cf2dadc2769a56edb9fc57549c7d628cb373c38b75f12919	12.34	6.61	93.31	56.00	43.75	77.78	223	3152	16	7	9	2
20120112_3d-car-shows.com_568a696a9b0b74e33aa9f371e1894d6bb8e919d0745fd18d26771bdc	38.32	23.90	96.57	87.27	92.31	82.76	844	2687	30	24	2	5
20120117_www.vancouversun.com_53f7cb2729dbc799a8053833c38c1e209189cec3232585a24e480a55	6.49	3.36	94.07	87.50	100.00	77.78	238	6839	15	7	0	2
20120112_www.medicalnewstoday.com_0d4f2d84bf8fc9e3bb097865447abd0246a26175b6cf6dc3442e997c	18.41	10.24	90.73	0.00	0.00	0.00	548	4801	56	0	7	19
20120117_www.newstrackindia.com_be31d862c62a21db5da44f6f04dfbefa0db30b8871335add44765e18	38.54	24.24	93.98	88.24	88.24	88.24	406	1269	26	15	2	2
20120117_topnews.us_79cfa1c6466acf007f87bf67f0e374affc8120c151663dc2463d26da	16.24	8.88	95.21	75.00	75.00	75.00	318	3265	16	6	2	2
20120112_www.dailytelegraph.com.au_19da765522c25f1e05b4e2e5c71ead9d2a29c56f410c0e9466d84987	9.98	5.27	93.63	68.57	60.00	80.00	353	6345	24	12	8	3
20120117_www.slbc.lk_ffe253f28e00d6fe592352ade540a8794f1fc39629982208652ab870	28.35	16.79	90.98	0.00	0.00	0.00	111	550	11	0	0	3
20120112_www.cbc.ca_0bcde571ac213d83e8f838480693af9d70c2ddc2b44ddd5221170be7	9.45	4.97	94.39	87.50	100.00	77.78	202	3859	12	7	0	2
20111215_www.economist.com_303e7a3288d2b109062b6ebcd0676f206e605325782fe0a181f02049	32.04	19.17	97.34	59.26	50.00	72.73	621	2618	17	8	8	3
