file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20111209_www.we-dwoje.pl_19af8fed1feb67d7ad17ceed91f60bbcb0845ec57d5132df8c16e255	13.54	7.38	81.61	0.00	0.00	0.00	284	3564	64	0	2	8
20111121_www.we-dwoje.pl_044a8dca7caad27f7636a1e373a2f6147e8e763695f8479d5175b004	22.06	12.66	85.47	57.14	60.00	54.55	400	2759	68	6	4	5
20120105_www.we-dwoje.pl_6ed54a3f163ad1ffe0cf00805c28afdcf78b018b370957c05e219bf1	32.84	20.14	88.89	53.33	80.00	40.00	648	2569	81	4	1	6
20120106_www.rp.pl_95c330562f009a62f447b6b55d22ae75f63ee25c158d7c62024f19e2	4.04	2.07	81.67	66.67	75.00	60.00	98	4635	22	3	1	2
20111209_www.we-dwoje.pl_7750fcbf097b086bffb815c87e01ec6d4bdce042f20e34c6a181abb2	24.68	14.62	79.03	14.81	28.57	10.00	475	2773	126	2	5	18
20120102_www.biolog.pl_9940d454b979f8443862031fc3022a424ef673d3609b8652bf8f2e23	38.40	24.61	87.39	34.15	24.14	58.33	485	1486	70	7	22	5
20120106_www.fakt.pl_67bb8036f1f11af246fafa2a3a8dc7773e06872328426b7d5f2d23eb	4.28	2.19	86.29	6.78	3.64	50.00	151	6737	24	2	53	2
20111207_goodcontents.net_310f39e4843b4e7c3cdb36545738f42ebb84cc4c5ebd835f68bca53a	9.22	4.85	92.29	25.00	22.22	28.57	383	7512	32	2	7	5
20120106_www.gs24.pl_f6b5c94c8ac16ff6a36cab4b7fa79e5bbce9af5cd76751d028932d40	20.01	11.27	89.13	11.11	16.67	8.33	369	2905	45	1	5	11
20120105_www.biolog.pl_183e757bd483767ac212b27981d1402ba1ff5227c483a602136df269	24.51	14.23	88.36	36.36	25.00	66.67	243	1465	32	6	18	3
20120106_wyborcza.pl_53936debf3d95b1bae6fa9d0582d577cd375b78b23bec85740562b1c	8.39	4.41	84.14	0.00	0.00	0.00	191	4137	36	0	4	7
20111121_goodcontents.net_3bac60d11082c79c3c7691a22cf2e087f817faeb28420816ed7ef701	15.75	8.61	92.18	48.00	42.86	54.55	377	4000	32	6	8	5
20120106_www.gazetalekarska.pl_da750cc1773a4b5b403d6d03bd5d64eece2a85660ac3ca9d9919f1d9	39.14	24.92	91.24	0.00	0.00	0.00	302	910	29	0	0	7
20120104_wiadomosci.wp.pl_605a92da3da5da73756d869fdbcf056a167730c9ad96183932c2a9d6	5.73	2.98	74.42	0.00	0.00	0.00	224	7288	77	0	38	12
20120106_slask.naszemiasto.pl_e4f5f61fdc3d25a8a225b4d8ca7d6940dfab791aade48c19aa6d890a	12.17	6.55	86.04	0.00	0.00	0.00	450	6425	73	0	17	19
20120106_wyborcza.pl_d60ebe121aed534c1ab9d05f3642cc362b6d30d9bb4e8a3fcda6f486	9.35	4.93	90.66	0.00	0.00	0.00	233	4492	24	0	5	5
20120106_www.rynekzdrowia.pl_bdc5c2b80ed23617eb900252991d90d4656ade58157d2e3e2bafc26b	17.57	9.78	86.51	20.00	100.00	11.11	263	2427	41	1	0	8
