file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120106_www2.rizospastis.gr_c44d5229886107a964158809a7762986d468cbec420700d03e3fef7f	97.14	99.06	95.29	0.00	0.00	0.00	526	5	26	0	0	7
20120105_health.in.gr_9aff1149c40ef5839c0c58532ceac309a5ea459588a12c3a24408ea2	85.28	80.10	91.18	0.00	0.00	0.00	310	77	30	0	0	11
20120106_www2.rizospastis.gr_b6790588a82e5a49bbeb17c84d2d9955724b60b3149ff61a623706f7	92.77	95.67	90.05	0.00	0.00	0.00	199	9	22	0	0	5
20120106_www.ethnos.gr_1084803ed0be38ec9e1cd259051c6724425a18b4729e37010668f164	86.07	82.82	89.59	0.00	0.00	0.00	241	50	28	0	0	8
20111207_www.express.gr_5a2b984dd7cae62f5e2aa1e96ffeb4a2232535a31b16445374f66c5f	92.46	94.13	90.85	0.00	0.00	0.00	417	26	42	0	0	18
20120106_www.avgi.gr_32758bb0414ec845fa2c99f6114bd72bfe5267d725c46c88b341b882	93.84	95.80	91.95	0.00	0.00	0.00	274	12	24	0	0	6
20120106_www.kathimerini.com.cy_1237811088607f097f4d460a3f33776468f75970e9775b9b4f2a42dd	89.49	95.83	83.94	0.00	0.00	0.00	115	5	22	0	0	5
20120105_health.in.gr_ce02e86026b514251d6e6f8541c9650917fc21da910b24778e3c6c83	93.17	98.58	88.32	0.00	0.00	0.00	348	5	46	0	0	10
20120106_www2.rizospastis.gr_38caad2915651ddcf48231eb5f4ab64cd6a7b92c8c02b513f402d29e	96.95	98.45	95.50	0.00	0.00	0.00	509	8	24	0	0	6
20120106_www2.rizospastis.gr_4c627406ff6c4cfec9c51f5085dd6caa44978ae56797a0fb64af7695	96.31	98.92	93.83	0.00	0.00	0.00	365	4	24	0	0	6
20120106_www.tovima.gr_7abd8f795d5f410943446e48770f6a123cfddb0f827dd8ca705708d2	88.47	98.60	80.23	0.00	0.00	0.00	211	3	52	0	0	12
20120105_www.iatronet.gr_592fa311de7833d5d1ece2963aa544e055bf7a765e7d0414c7c2bc5e	92.20	98.05	87.01	0.00	0.00	0.00	201	4	30	0	0	7
20120105_www.tovima.gr_07b79daa65528f984e29ec38a6e8e0118143b4371a485c802d651f7e	95.57	98.50	92.81	0.00	0.00	0.00	658	10	51	0	0	16
20120106_www.tovima.gr_526e56bd7f9e2305519228aca4dc084ed33a3ee06a1192f3a43644f6	92.90	93.21	92.60	0.00	0.00	0.00	563	41	45	0	0	16
20111222_www.express.gr_95ab89f215d2fbfc626d18e0207d95c6ae39e790098120fc76942422	92.91	91.90	93.95	0.00	0.00	0.00	295	26	19	0	0	6
20111216_www.express.gr_b3e6051f0dd31380ead5dabc3379f11543208e81c92d880417870d5b	96.64	97.14	96.14	0.00	0.00	0.00	1121	33	45	0	0	19
20120106_www1.rizospastis.gr_a0c46c9e11a7fe0ec70aca89596807dddb688b5ee5f21075f8563f54	96.34	98.40	94.37	0.00	0.00	0.00	369	6	22	0	0	5
20120106_www2.rizospastis.gr_06396d8fa53c5b4e72a96d668b31aa1ecf07ab9d94f8eb442ca04b5c	70.42	83.33	60.98	0.00	0.00	0.00	25	5	16	0	0	2
20111118_www.express.gr_f226bbc41a07c1a1f6e320e7fe083986f5535a367c8d18b006d92de8	92.28	94.83	89.86	0.00	0.00	0.00	532	29	60	0	0	17
20111220_www.express.gr_07fae9dc16db9e3fa4b72504291c46a4ab71234ff69751ad7f34badb	91.01	92.05	90.00	0.00	0.00	0.00	162	14	18	0	0	6
20111124_www.express.gr_41edb297aa4c3872c400d4cafdd44d524fc56f1c7c28eaf2c3ae6256	92.42	92.58	92.25	0.00	0.00	0.00	262	21	22	0	0	8
20120106_www2.rizospastis.gr_b2138c0b117a24a9b0c5c862bd74433afa9e267d5007d241ea613877	96.15	98.31	94.09	0.00	0.00	0.00	350	6	22	0	0	5
20111109_www.express.gr_6066839f4292469965d02e2879526a4fed12f6a8c4e1ba5ecc111893	94.55	95.55	93.58	0.00	0.00	0.00	408	19	28	0	0	9
20111116_www.express.gr_1db2023edf82f75860f86aaae5f4f7cd09cda3ce998e53aab61cef0b	95.76	96.49	95.04	0.00	0.00	0.00	632	23	33	0	0	12
20111208_www.express.gr_da882fcb03388a9eb9b305a1b9fe9172e88e3dd13a766f46dd793e21	95.31	95.90	94.72	0.00	0.00	0.00	538	23	30	0	0	12
20120106_www1.rizospastis.gr_3bceecc05f9f8ed4e10be7860293dab4aa6615fc4245f6889c0f75c8	94.92	97.29	92.67	0.00	0.00	0.00	215	6	17	0	0	2
20120106_www2.rizospastis.gr_65f79f0c8c9c7b88c9798ff946fe94a0aeb143d875f44cbc190102a2	95.45	98.89	92.25	0.00	0.00	0.00	357	4	30	0	0	9
20120106_www2.rizospastis.gr_59047665d06bfe2a79a6cb23a841225acd543f670882bf5c5b8b9d61	91.05	90.87	91.24	0.00	0.00	0.00	229	23	22	0	0	5
20120106_www2.rizospastis.gr_47c20c12563f82cfff24713ca108825f2bf598af601a270e78a7f104	96.58	98.87	94.40	0.00	0.00	0.00	438	5	26	0	0	7
20111209_www.express.gr_46ec12e526b67d96ff38821c694d5361d8be99ade2067b8430e7b960	88.19	90.32	86.15	0.00	0.00	0.00	112	12	18	0	0	6
